id,title,original_language,revenue,budget,runtime,status,tagline,vote_count,year,popularity_ranking
19995,Avatar,en,2787965087,237000000,162.0,Released,Enter the World of Pandora.,11800,2009,7
285,Pirates of the Caribbean: At World's End,en,961000000,300000000,169.0,Released,"At the end of the world, the adventure begins.",4500,2007,6
206647,Spectre,en,880674609,245000000,148.0,Released,A Plan No One Escapes,4466,2015,6
49026,The Dark Knight Rises,en,1084939099,250000000,165.0,Released,The Legend Ends,9106,2012,7
49529,John Carter,en,284139100,260000000,132.0,Released,"Lost in our world, found in another.",2124,2012,6
559,Spider-Man 3,en,890871626,258000000,139.0,Released,The battle within.,3576,2007,5
38757,Tangled,en,591794936,260000000,100.0,Released,They're taking adventure to new lengths.,3330,2010,7
99861,Avengers: Age of Ultron,en,1405403694,280000000,141.0,Released,A New Age Has Come.,6767,2015,7
767,Harry Potter and the Half-Blood Prince,en,933959197,250000000,153.0,Released,Dark Secrets Revealed,5293,2009,7
209112,Batman v Superman: Dawn of Justice,en,873260194,250000000,151.0,Released,Justice or revenge,7004,2016,5
1452,Superman Returns,en,391081192,270000000,154.0,Released,,1400,2006,5
10764,Quantum of Solace,en,586090727,200000000,106.0,Released,"For love, for hate, for justice, for revenge.",2965,2008,6
58,Pirates of the Caribbean: Dead Man's Chest,en,1065659812,200000000,151.0,Released,Jack is back!,5246,2006,7
57201,The Lone Ranger,en,89289910,255000000,149.0,Released,Never Take Off the Mask,2311,2013,5
49521,Man of Steel,en,662845518,225000000,143.0,Released,You will believe that a man can fly.,6359,2013,6
2454,The Chronicles of Narnia: Prince Caspian,en,419651413,225000000,150.0,Released,Hope has a new face.,1630,2008,6
24428,The Avengers,en,1519557910,220000000,143.0,Released,Some assembly required.,11776,2012,7
1865,Pirates of the Caribbean: On Stranger Tides,en,1045713802,380000000,136.0,Released,Live Forever Or Die Trying.,4948,2011,6
41154,Men in Black 3,en,624026776,225000000,106.0,Released,They are back... in time.,4160,2012,6
122917,The Hobbit: The Battle of the Five Armies,en,956019788,250000000,144.0,Released,Witness the defining chapter of the Middle-Earth saga,4760,2014,7
1930,The Amazing Spider-Man,en,752215857,215000000,136.0,Released,The untold story begins.,6586,2012,6
20662,Robin Hood,en,310669540,200000000,140.0,Released,"Rise and rise again, until lambs become lions.",1398,2010,6
57158,The Hobbit: The Desolation of Smaug,en,958400000,250000000,161.0,Released,Beyond darkness... beyond desolation... lies the greatest danger of all.,4524,2013,7
2268,The Golden Compass,en,372234864,180000000,113.0,Released,There are worlds beyond our own - the compass will show the way.,1303,2007,5
254,King Kong,en,550000000,207000000,187.0,Released,The eighth wonder of the world.,2337,2005,6
