budget,id,original_language,popularity,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count
4500000,36419,en,14.570359,2010-04-09,3606395,104.0,Released,Life is the symptom. Death is the cure.,After.Life,5.4,251
70000000,6068,en,18.264635,1998-06-12,164000000,98.0,Released,"After this week in paradise, they’re going to need a vacation.",Six Days Seven Nights,5.6,332
0,19904,en,7.924428,2009-10-16,0,101.0,Released,Daddy's home.,The Stepfather,5.4,167
2500000,45132,en,12.204569,2010-09-09,324138,96.0,Released,"Shut up, crime!",Super,6.6,441
30000000,9009,en,14.376463,2005-06-27,25473093,105.0,Released,"This Season, The Mystery Of The Darkness Will Consume Your Life",Dark Water,5.3,274
1800000,205126,en,1.959405,2013-06-27,0,86.0,Released,,Independence Daysaster,4.2,22
10000000,82532,en,10.409155,2011-09-13,4417580,83.0,Released,The first step to finding your destiny is leaving your mother's basement.,"Jeff, Who Lives at Home",6.1,217
40000000,1677,en,21.743321,2004-10-29,124731534,152.0,Released,The extraordinary life story of Ray Charles.,Ray,7.2,467
30000000,11648,en,11.120167,2005-07-21,58405313,98.0,Released,,Must Love Dogs,5.8,140
0,9434,en,13.817269,1997-04-11,28084357,107.0,Released,Even a hit man deserves a second shot.,Grosse Pointe Blank,6.9,275
0,20406,en,0.361554,2007-07-07,0,76.0,Released,,Rockaway,5.8,2
300000,21525,en,1.314576,2003-01-23,7808524,112.0,Released,In his own words,Tupac: Resurrection,8.0,26
55000000,116149,en,39.882276,2014-11-27,259207227,95.0,Released,The Adventure Begins,Paddington,7.0,883
140000000,944,en,24.855701,1998-07-10,285444603,127.0,Released,The faces you love. The action you expect.,Lethal Weapon 4,6.3,767
10,208869,en,9.70276,2014-04-30,0,102.0,Released,HUSTLE. HEIST. REPEAT.,Plastic,6.1,86
25000000,227156,en,53.811461,2014-08-11,66980456,94.0,Released,Search for truth. Find freedom.,The Giver,6.4,1798
9000000,238636,en,82.975841,2014-07-17,108782847,104.0,Released,"Welcome to America, where one night a year, all crime Is legal.",The Purge: Anarchy,6.6,1954
3000000,38541,en,11.882563,2011-03-13,22000,112.0,Released,The lucky ones died in the blast,The Divide,5.7,197
37000000,62837,en,6.63839,2011-09-23,95404397,113.0,Released,Inspired by the amazing true story of Winter.,Dolphin Tale,6.7,163
8000000,14429,en,4.482714,1999-10-01,22593409,91.0,Released,The last guy she wants is the only one she needs.,Drive Me Crazy,5.8,62
0,325373,en,3.139294,2016-10-02,0,96.0,Released,,Two Lovers and a Bear,6.8,27
32000000,3587,en,3.379454,1996-09-06,0,110.0,Released,"A comedy about losing your heart, finding your inner child and meeting the one friend you've always tried to avoid.",Bogus,5.4,44
0,22007,en,3.280081,2008-10-16,0,94.0,Released,You're in for a hell of a ride.,Train,4.8,36
30000000,37056,en,16.52083,2010-05-14,0,105.0,Released,What if you had a second chance to find true love?,Letters to Juliet,6.6,796
26000000,14181,en,11.233081,2000-02-18,28780255,118.0,Released,Welcome to the new American dream.,Boiler Room,6.5,201
0,70670,en,20.821846,2011-08-04,15699707,100.0,Released,The hunt is on.,Headhunters,7.1,399
1000000,22597,en,3.424158,2000-02-01,1744858,94.0,Released,,The Broken Hearts Club: A Romantic Comedy,6.3,25
40000000,225886,en,72.641296,2014-07-17,126069509,97.0,Released,A movie about a movie they don't want you to see.,Sex Tape,5.3,1695
950000,207769,en,7.310879,2013-08-26,0,87.0,Released,"The experiments are over, the terror has just begun...",Banshee Chapter,5.7,92
55000000,2207,en,32.31022,2006-03-01,65664721,105.0,Released,"For a New York cop and his witness, the distance between life and death just got very short.",16 Blocks,6.2,661
3500000,1956,en,5.038953,2002-01-12,0,103.0,Released,,Gerry,6.2,68
12000000,327,ja,5.327714,2000-09-09,15250000,114.0,Released,Are You Japanese?,Brother,6.8,107
22000000,10425,en,12.893219,2007-07-23,413454,97.0,Released,"To live a life of his own, he has to die first.",The Death and Life of Bobby Z,5.8,103
0,52067,en,10.254807,2011-02-11,6861102,87.0,Released,Today is the first day... of the rest of his weekend.,Cedar Rapids,5.9,135
38000000,12279,en,21.998734,2003-07-25,197011982,84.0,Released,3rd Mission. 3rd Dimension.,Spy Kids 3-D: Game Over,4.7,511
0,121676,en,6.783053,2012-09-14,0,93.0,Released,You can never escape your past,Inescapable,5.2,13
30000000,146238,en,22.975918,2013-09-24,62616646,91.0,Released,The house always wins.,Runner Runner,5.5,543
10500000,601,en,56.105798,1982-04-03,792910554,115.0,Released,He is afraid. He is alone. He is three million light years from home.,E.T. the Extra-Terrestrial,7.3,3269
8000000,9962,en,9.799177,2002-01-12,16856124,93.0,Released,It's her last best chance... is she going to take it?,The Good Girl,6.1,181
35000000,49526,en,17.709888,2012-08-24,31083599,91.0,Released,Ride Like Hell,Premium Rush,6.2,832
1200000,11219,en,6.920873,1955-10-03,7000000,99.0,Released,A THRILLER with a difference!,The Trouble with Harry,6.9,149
0,11062,en,3.621837,1996-02-16,0,111.0,Released,It started with a shootout on a rainswept street and ended in a scandal that shattered New York.,City Hall,6.0,67
0,15983,en,4.192064,1985-09-27,0,107.0,Released,America wasn't ready...but HE was!,Invasion U.S.A.,5.3,49
0,50538,fr,0.205034,2003-10-03,0,100.0,Released,,Evil Words,6.9,8
7000000,2074,en,5.500324,1996-03-22,14702438,92.0,Released,"A comedy about sex, love, family and other accidents waiting to happen.",Flirting with Disaster,6.3,66
0,9396,en,15.474831,1988-05-19,239606210,110.0,Released,The world's favourite adventurer is back for more! much more!,Crocodile Dundee II,5.5,303
36000000,782,en,70.398356,1997-09-07,12532777,106.0,Released,There is no gene for the human spirit.,Gattaca,7.5,1808
4000000,11013,en,19.107285,2002-01-11,9304609,104.0,Released,Assume the position.,Secretary,6.7,376
12000000,57157,en,16.183746,2011-12-16,22939027,94.0,Released,Everyone gets old. Not everyone grows up.,Young Adult,5.6,364
23000000,2453,en,12.869436,1991-08-23,7434726,98.0,Released,When the going gets tough... the tough take the law into their own hands.,Harley Davidson and the Marlboro Man,6.1,82
0,9957,en,6.74556,2006-04-07,0,80.0,Released,Get off the bench and get into the game.,The Benchwarmers,5.2,242
5000000,13191,en,6.265659,2008-04-28,1296184,106.0,Released,When it comes to war... America means business,"War, Inc.",5.6,86
0,9416,en,7.615653,1997-08-22,0,97.0,Released,This ain't no buddy movie.,Money Talks,5.9,87
12716953,10622,cn,7.077505,1997-01-31,18814720,113.0,Released,Fight first. Apologize later.,Mr. Nice Guy,6.3,128
170000000,20526,en,73.79505,2010-12-10,400062763,125.0,Released,The Game Has Changed.,TRON: Legacy,6.3,2841
3500000,813,en,46.116885,1980-07-02,83453539,88.0,Released,"What's slower than a speeding bullet, and able to hit tall buildings at a single bound?",Airplane!,7.1,1074
0,12586,en,1.814802,2006-09-09,0,91.0,Released,One person can change your life forever,Bella,6.7,37
0,34069,de,10.142218,2009-09-24,0,120.0,Released,,Cargo,5.9,140
1000000,269057,en,0.973323,2014-09-08,0,90.0,Released,"Once upon a time, there was a girl...",Bang Bang Baby,6.6,8
